timestamp_iso,timestamp_epoch,token_id,slug,outcome,bestBid,bestAsk,spread,mid,microprice,imbalance_topN,bid_depth_topN,ask_depth_topN,spread_percentile_60s,bid_depth_total,ask_depth_total,tape_ts_epoch,tape_source
2026-03-06T19:02:13Z,1772823733,38360456427327464740144520603670178598372596964414578979826661580176855655062,solana-up-or-down-march-6-2pm-et,Up,0.54,0.55,0.01,0.545,0.5433584237,0.5159916154,2823.47,2648.46,100,4858.47,4485.46,1772823733,CLOB_BOOK
2026-03-06T19:02:13Z,1772823733,70244097016650638056943416486156963145798825895939348226262470478186180767038,ethereum-up-or-down-march-6-2pm-et,Down,0.39,0.4,0.01,0.395,0.3906568144,0.5127427432,5159.52,4903.07,100,8632.52,8317.57,1772823733,CLOB_BOOK
2026-03-06T19:02:13Z,1772823733,76871165663812550761322588615474071902931517921531572365633529117772138723752,xrp-up-or-down-march-6-2pm-et,Up,0.52,0.53,0.01,0.525,0.5293589744,0.483002652,2005.2,2146.33,86.9565217391,3085.2,3013.33,1772823733,CLOB_BOOK
2026-03-06T19:02:13Z,1772823733,5989222319425208530096625493244969872180540108044038522269239934826828801892,solana-up-or-down-march-6-2pm-et,Down,0.45,0.46,0.01,0.455,0.4572503172,0.486821897,2678.46,2823.47,90.9090909091,4515.46,4858.47,1772823733,CLOB_BOOK
2026-03-06T19:02:13Z,1772823733,35637801070391585309281248245184294350291414545260807921128519126494476255775,bitcoin-up-or-down-march-6-2pm-et,Down,0.37,0.38,0.01,0.375,0.3731027949,0.378699973,5447.69,8937.55,90.9090909091,13680.59,14188.62,1772823733,CLOB_BOOK
2026-03-06T19:02:13Z,1772823733,108141103146448992288683731106998019573851560549384814626747926830643486174504,ethereum-up-or-down-march-6-2pm-et,Up,0.6,0.61,0.01,0.605,0.6093431856,0.4872572568,4903.07,5159.52,100,8317.57,8632.52,1772823733,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,35531914449530778203692157539650308378498968905186000490478336619783194020949,bitcoin-up-or-down-march-6-1pm-et,Down,,0.001,,,,0,0,677353.9500000001,,0,680569.7300000001,1772823736,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,64143571891703401153242308754714439517397464054405527790807580164944483736294,solana-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,637536.24,0,,637925.6800000001,0,1772823736,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,50213630518181866833234265638404914996318633868766983671832149276478448533182,ethereum-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,587445.3300000001,0,,587854.3700000001,0,1772823736,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,79886822364947379073964662689073310927127450520910509636512720498042444502050,bitcoin-up-or-down-march-6-1pm-et,Up,0.999,,,,,1,677353.9500000001,0,,680569.7300000001,0,1772823736,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,38360456427327464740144520603670178598372596964414578979826661580176855655062,solana-up-or-down-march-6-2pm-et,Up,0.54,0.55,0.01,0.545,0.5490491585,0.5139082509,2853.27,2698.83,100,4883.27,4545.83,1772823736,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,70244097016650638056943416486156963145798825895939348226262470478186180767038,ethereum-up-or-down-march-6-2pm-et,Down,0.38,0.39,0.01,0.385,0.3867213115,0.4843366398,4884.69,5200.63,100,8357.69,8624.41,1772823736,CLOB_BOOK
2026-03-06T19:02:16Z,1772823736,76871165663812550761322588615474071902931517921531572365633529117772138723752,xrp-up-or-down-march-6-2pm-et,Up,0.53,0.54,0.01,0.535,0.5315789474,0.460188465,2026.67,2377.33,86.9565217391,3111.67,3118.33,1772823736,CLOB_BOOK
